,geometry,OBJECTID,NAME,ADDRESS,BUILDING_DESCRIPTION,PARCEL_ID,BRT_ID,TENCODE_ID,GROSS_AREA,Shape__Area,Shape__Length
566,"POLYGON ((-75.1912594841333 39.9597630028165, -75.1911633309485 39.9597636946767, -75.19121891692581 39.96007206378, -75.1913140846989 39.960061951471, -75.1912594841333 39.9597630028165))",567,Drexel University,3404 POWELTON AVE,APTS  5-50 UNTS MASONRY,333323,774531914,6546003404,2938,2996.71917724609,277.267352687409
567,"POLYGON ((-75.1900717581974 39.9591505236971, -75.1900758909851 39.9591809528695, -75.19007633165781 39.9591842351652, -75.1900784166767 39.9591995303567, -75.1900791550939 39.9592049474781, -75.1901077904907 39.9594161899496, -75.1907329683294 39.9594110363561, -75.19073278170551 39.9593976522195, -75.1907269914208 39.958976380051, -75.190726388811 39.9589323271233, -75.19072540050119 39.9588606866276, -75.19072347132391 39.958860739099, -75.19020274657321 39.958873511171, -75.19017832132801 39.9588741113696, -75.1900344059071 39.9588776370221, -75.1900654491957 39.9591039260225, -75.1900717581974 39.9591505236971))",568,Drexel University,201 N 34TH ST,APTS DORMITORY MASONRY,334997,774588100,8846000201,36062,36628.3225708008,766.824081674383
568,"POLYGON ((-75.1920780719128 39.9596544271115, -75.1921359398798 39.9599723891335, -75.1922011751619 39.9599649929327, -75.1921437678587 39.9596509588031, -75.1920780719128 39.9596544271115))",569,Drexel University,3424 POWELTON AVE,APTS  5-50 UNTS MASONRY,337355,774531928,6546003424,2183,2144.48370361328,269.425796539775
569,"POLYGON ((-75.1918944157506 39.9595495355831, -75.1918974843 39.9596004776159, -75.1924295496287 39.9595726045828, -75.19242538785851 39.9595217670465, -75.1918944157506 39.9595495355831))",570,Drexel University,217 N 35TH ST,APTS  5-50 UNTS MASONRY,338562,774531954,8848000217,2679,2772.45043945313,335.819778800196
570,"POLYGON ((-75.18726745511491 39.9619601123516, -75.1872993004785 39.9621299187826, -75.1875823396461 39.9620974899152, -75.1875496559708 39.961927663954, -75.1872672617267 39.9619591241298, -75.18726745511491 39.9619601123516))",571,Drexel University,400-04 N 31ST ST,AUTO REPAIR SHOP MASONRY,340441,241206900,8840000400,5000,5022.25671386719,285.602004929988
571,"POLYGON ((-75.1916033677425 39.9583753986677, -75.1916150851907 39.9586967161742, -75.1917222824743 39.9586941907155, -75.19171367316289 39.9584116138055, -75.1917124304416 39.9583711731799, -75.1917111496236 39.9583290080763, -75.1916266505266 39.9583322820536, -75.19161811402719 39.958373728174, -75.1916033677425 39.9583753986677))",572,Drexel University,3410 RACE ST,S/D CON.APT 3STY MASONRY,365474,241065400,6712003410,3948,3948.04748535156,323.409884228128
572,"POLYGON ((-75.19344036818759 39.9575423557547, -75.1935113102557 39.9575797868217, -75.1936561974141 39.9576544093912, -75.1937570935218 39.9577085303622, -75.1939109757559 39.9569962293362, -75.1936779237263 39.9569678725913, -75.19329259111571 39.9569188890927, -75.1931956072978 39.9569066372976, -75.1930300380623 39.9568856991913, -75.19280871254379 39.9568579894599, -75.1927540489675 39.9568511441957, -75.1925510475801 39.9568257444443, -75.1925158776304 39.9568213329596, -75.1924724708705 39.9568159008043, -75.1924549376522 39.9568137043141, -75.19235228054541 39.9568008577003, -75.19232565790971 39.956797523303, -75.1919295618063 39.9567479420233, -75.1919547429639 39.956762849355, -75.1921913499489 39.9568892807124, -75.19265643979131 39.9571304513325, -75.19280003301461 39.9572054651511, -75.19296737484829 39.9572928716768, -75.192986562035 39.9573028905574, -75.1930873868526 39.9573561095445, -75.1930918439101 39.9573584487863, -75.1933266854309 39.9574823723022, -75.1933996814183 39.9575208808671, -75.19344036818759 39.9575423557547))",573,Drexel University,3401 FILBERT ST,SCHOOL 1STY MASONRY,428913,774675500,3400003401,74835,74143.3881835938,1446.26874245293
573,"POLYGON ((-75.1922132031104 39.9617120080549, -75.1921760538021 39.9617161281878, -75.19212391387561 39.9617216719678, -75.1921799079541 39.961993795704, -75.19226954313039 39.9619838159902, -75.1922132031104 39.9617120080549))",574,Drexel University,3414 HAMILTON ST,APTS  5-50 UNTS MASONRY,442421,774518800,4018003414,2600,2540.39727783203,251.294882976968
574,"POLYGON ((-75.191353920298 39.9597528741674, -75.1912594841333 39.9597630028165, -75.1913140846989 39.960061951471, -75.1914079195634 39.9600516642958, -75.191353920298 39.9597528741674))",575,Drexel University,3406 POWELTON AVE,APTS  5-50 UNTS MASONRY,444911,774531916,6546003406,2901,2929.60174560547,273.1621063158
575,"POLYGON ((-75.1900023698295 39.9548285221121, -75.1901149344345 39.9548429461999, -75.1902407888598 39.9542588681368, -75.19021244170339 39.9542551893027, -75.18992214630519 39.9542175833472, -75.18992163582131 39.9542200389169, -75.1899072601985 39.9542902580759, -75.1898991750453 39.9543297472548, -75.1898715078284 39.9544647784791, -75.1898530036032 39.9545506055734, -75.1898012219803 39.9548019324266, -75.18980104478609 39.9548027510931, -75.1899331425281 39.9548196583726, -75.1900023698295 39.9548285221121))",576,Drexel University,20-40 S 33RD ST,SCHOOL 2STY MAS.+OTHER,453712,773260500,8845000020,19340,19391.2222290039,611.324328607297
576,"POLYGON ((-75.1901612022307 39.9598021114238, -75.1902139144492 39.960183277043, -75.190216838488 39.9601829557505, -75.1904435140038 39.9601579013262, -75.1904849737728 39.9601533130019, -75.1905346346441 39.9601473777081, -75.1907447954532 39.9601236454609, -75.1907447518377 39.9601208558672, -75.1907388399116 39.9597834360373, -75.19064426787401 39.9597827769835, -75.19061926659479 39.9597830571892, -75.19050307693691 39.9597828987658, -75.1904485944174 39.9597828446877, -75.1903459290115 39.9597873243805, -75.1902121549346 39.9597979936001, -75.1901612022307 39.9598021114238))",577,Drexel University,229 N 34TH ST,APTS DORMITORY MASONRY,499026,774566000,8846000229,20875,20875.9591674805,576.230582304007
577,"POLYGON ((-75.1922761254995 39.9596439958508, -75.1923328525429 39.9599505192514, -75.1923976387428 39.9599433877358, -75.1923414700714 39.9596403745339, -75.1922761254995 39.9596439958508))",578,Drexel University,3430 POWELTON AVE,APTS  5-50 UNTS MASONRY,510224,774531934,6546003430,2090,2055.97296142578,260.998611094991
578,"POLYGON ((-75.18825097967419 39.9578555257772, -75.1882371634274 39.957920872897, -75.1882300050442 39.9579507436856, -75.18819772600619 39.957946846843, -75.1881946819731 39.9579619969135, -75.18822611557189 39.9579660830114, -75.18821995147221 39.9580056969886, -75.1882176926798 39.9580383702994, -75.18820947674941 39.9581457213731, -75.18820575849961 39.9581948676798, -75.18820473736019 39.9582086591493, -75.18831732058131 39.9582138175195, -75.18902743265249 39.9582463714989, -75.18903184521859 39.9582465655058, -75.18902778546069 39.9582170082882, -75.1890166622422 39.9581358547994, -75.1889900331529 39.95794150201, -75.18895535250461 39.9577034777735, -75.18892889147089 39.9577002921633, -75.1882993577413 39.9576246592619, -75.18825097967419 39.9578555257772))",579,Drexel University,101 N 33RD ST,OFF/BLDG W/COMM+GAR MASON,511596,774551000,8844000101,43353,43353.9794311523,850.041862899194
579,"POLYGON ((-75.16349294315199 39.9583276548749, -75.16342495293461 39.9586400406318, -75.1636812516852 39.9586722870623, -75.16371036388951 39.95853540951, -75.1637137480101 39.9585202360973, -75.1637475207739 39.9583627005815, -75.1637546755647 39.9583293647871, -75.16349974937791 39.9582963430272, -75.1634988830306 39.95830036996, -75.16349294315199 39.9583276548749))",580,Drexel University,1427-33 VINE ST,OFF/BLD N/PKG N/COM MASON,517029,772028000,8012001427,8938,9206.06072998047,398.823133728197
580,"POLYGON ((-75.1604104915674 39.9499425069136, -75.1603264257993 39.950341316834, -75.16050451567359 39.950363954903, -75.1605879489294 39.949976769941, -75.160590302695 39.9499655396317, -75.1604104915674 39.9499425069136))",581,Drexel University,1200-02 CHESTNUT ST,OFF/BLDG COMM NO GAR MASO,519137,883019200,2282001200,7250,7484.66467285156,396.006766786523
581,"POLYGON ((-75.1909846302074 39.9590178484314, -75.1909857644312 39.9590873009212, -75.19098684045289 39.9591582676083, -75.1914139374169 39.9591481918856, -75.1914129785542 39.9590785171678, -75.1914118384356 39.9590092096229, -75.1909846302074 39.9590178484314))",582,Drexel University,204-06 N 34TH ST,APT DORMITORY MAS.+OTHER,531635,774560000,8846000204,6050,6096.21765136719,341.372241464173
582,"POLYGON ((-75.1922761254995 39.9596439958508, -75.19220973698771 39.9596474803296, -75.1922667448635 39.9599577014596, -75.1923328525429 39.9599505192514, -75.1922761254995 39.9596439958508))",583,Drexel University,3428 POWELTON AVE,APTS  5-50 UNTS MASONRY,538636,774531932,6546003428,2132,2117.14276123047,264.289117759214
583,"POLYGON ((-75.18790692260021 39.955943401092, -75.18791559427071 39.9559014031987, -75.1880823768653 39.9559217974217, -75.18809274314 39.9558727977761, -75.18809253093561 39.9558726813121, -75.1881038076889 39.9558181337615, -75.1875051626748 39.9555071853997, -75.18725986674831 39.9554771868372, -75.18718181368359 39.9558547276171, -75.18722671005619 39.9558602175988, -75.18790692260021 39.955943401092))",584,Drexel University,3161-67 MARKET ST,AUTO REPAIR SHOP MASONRY,539945,882970495,5356003161,26675,26674.5382080078,718.307916248982
584,"POLYGON ((-75.18713278490721 39.9560921619659, -75.1871188365276 39.9561405697433, -75.1870973801793 39.9561873231248, -75.1870687321433 39.9562317344942, -75.18703331379869 39.9562731546223, -75.1869916434681 39.9563109715842, -75.18708407526 39.9563222755196, -75.1873651339819 39.9563566466603, -75.1873561768971 39.9564000238974, -75.1879680405082 39.9564748477658, -75.18806948166571 39.9559841485089, -75.1880823768653 39.9559217974217, -75.18791559427071 39.9559014031987, -75.1879069226342 39.9559434001917, -75.1872267100901 39.9558602166985, -75.18718181381939 39.9558547240161, -75.18713278490721 39.9560921619659))",585,Drexel University,3175 JOHN F KENNEDY BLVD,APTS DORMITORY MASONRY,193473,881115750,4617003175,47922,47922.8227539063,946.25413374362
585,"POLYGON ((-75.18735397959151 39.9564106634886, -75.18717437715949 39.957280238619, -75.1872319423782 39.9572872883179, -75.1877860255798 39.9573551377654, -75.187955340567 39.9565362688581, -75.1879680405082 39.9564748477658, -75.1873561768971 39.9564000238974, -75.18735397959151 39.9564106634886))",586,Drexel University,115-25 N 32ND ST,APTS DORMITORY MASONRY,1035,774635000,8842000115,56366,56383.4140625,996.685963220766
586,"POLYGON ((-75.1859839236441 39.9564276866938, -75.1859324759326 39.9566768202396, -75.186003146185 39.9566911381846, -75.1860731297331 39.9567073346609, -75.1862033663427 39.956743048294, -75.1863302749825 39.956785264778, -75.18645331128749 39.9568337971631, -75.1865719432992 39.9568884398578, -75.1866856601296 39.9569489562078, -75.18679397051891 39.9570150856718, -75.18689640875201 39.9570865421511, -75.1869925321496 39.9571630184382, -75.1870819258144 39.957244184521, -75.1871642060393 39.9573296903609, -75.1871744167639 39.9572802440088, -75.18735397959151 39.9564106634886, -75.1873561768971 39.9564000238974, -75.1873651339819 39.9563566466603, -75.18708407526 39.9563222755196, -75.1869916434681 39.9563109715842, -75.18698988973669 39.9563123650091, -75.1869873922259 39.9563143256713, -75.1869848776773 39.9563162724377, -75.1869823472265 39.9563182062346, -75.1869797985341 39.9563201270098, -75.1869772338718 39.9563220366161, -75.1869746522395 39.9563239305259, -75.18697205470509 39.9563258114664, -75.1869694400649 39.9563276803114, -75.1869668119302 39.9563295344389, -75.186964164418 39.9563313746182, -75.1869615021735 39.9563332018541, -75.18695882406099 39.9563350152203, -75.1869561300804 39.9563368147168, -75.1869534214355 39.9563385994695, -75.18695069571871 39.9563403712266, -75.1869479541339 39.9563421291139, -75.18694520025819 39.9563438714095, -75.18694242814099 39.9563456006833, -75.1869396413594 39.9563473152133, -75.1869368422871 39.9563490141514, -75.186934026109 39.9563507009942, -75.1869311953685 39.9563523703924, -75.1869283510655 39.9563540268734, -75.1869254932341 39.9563556695369, -75.1869226196026 39.9563572965302, -75.1869197325444 39.9563589070053, -75.1869168319239 39.9563605045632, -75.1869139154692 39.9563620873511, -75.18691098675789 39.9563636536469, -75.1869080433821 39.9563652051989, -75.1869050888515 39.9563667420854, -75.186902117351 39.9563682632755, -75.1868991359333 39.9563697680259, -75.1868961409872 39.9563712589587, -75.18689313258059 39.9563727342736, -75.18689011191719 39.9563741930964, -75.18688707775929 39.9563756372015, -75.18688403017489 39.9563770647884, -75.18688097146961 39.9563784768096, -75.1868778992698 39.956379874113, -75.1868748160171 39.9563812540502, -75.1868717227793 39.9563826193482, -75.1868686161488 39.9563839672276, -75.186865496024 39.9563853003893, -75.186862366016 39.9563866162109, -75.1868592237512 39.9563879155405, -75.1868560703316 39.9563892002046, -75.18685290702889 39.9563904675286, -75.1868497314355 39.9563917192607, -75.1868465471627 39.9563929527787, -75.1868433493954 39.9563941715789, -75.1868401429149 39.9563953730652, -75.1868369241776 39.9563965580593, -75.18683369665899 39.9563977275401, -75.18683045932529 39.9563988778802, -75.1868272108027 39.9564000144552, -75.1868239536348 39.9564011319157, -75.1868206865158 39.9564022338365, -75.18681740951369 39.9564033184174, -75.1868141237982 39.9564043856842, -75.18681082936951 39.9564054356371, -75.1868075238539 39.9564064691241, -75.186804209591 39.9564074861973, -75.1868008866148 39.9564084859566, -75.18679755612909 39.9564094675278, -75.1867942168961 39.9564104326853, -75.1867908689498 39.9564113805289, -75.1867875134601 39.9564123110846, -75.18678414812121 39.9564132234, -75.1867807775445 39.9564141193801, -75.1867773970847 39.9564149980201, -75.1867740103191 39.9564158575979, -75.1867706159761 39.9564167007881, -75.1867672129538 39.9564175257642, -75.1867638058296 39.9564183353313, -75.1867603877543 39.9564191248315, -75.18675696678091 39.9564198980486, -75.1867535371282 39.9564206530514, -75.18675010110179 39.9564213907926, -75.1867466575319 39.956422111246, -75.186743209996 39.9564228126895, -75.18673975495059 39.9564234959449, -75.1867362946674 39.9564241628649, -75.1867328280785 39.9564248107228, -75.1867293563198 39.9564254404449, -75.1867258793572 39.9564260529314, -75.1867223972248 39.9564266472821, -75.1867189087188 39.9564272243711, -75.1867154173825 39.9564277833766, -75.1867119197746 39.9564283224197, -75.1867084180647 39.9564288460538, -75.1867049132529 39.9564293588064, -75.18670140540701 39.9564298588769, -75.186697896833 39.956430347218, -75.1866943817154 39.9564308227986, -75.1866908670054 39.9564312875761, -75.1866873481934 39.9564317369447, -75.18668382627951 39.9564321754318, -75.1866803025695 39.9564325994624, -75.1866767757235 39.9564330135118, -75.1866732470813 39.9564334131048, -75.1866697153372 39.9564338018162, -75.1866661830007 39.9564341751971, -75.18666264639241 39.9564345376704, -75.18665910791999 39.9564348874878, -75.18665556754949 39.9564352255495, -75.1866520253827 39.9564355491549, -75.1866484824876 39.9564358610306, -75.1866449353887 39.9564361601983, -75.18664138876539 39.9564364467623, -75.1866378379043 39.9564367215184, -75.18663428875639 39.9564369818966, -75.1866307353708 39.9564372304668, -75.1866271824607 39.9564374664334, -75.1866236265506 39.9564376888177, -75.1866200698782 39.9564379003727, -75.1866165114097 39.9564380974714, -75.1866129522128 39.9564382828405, -75.1866093946613 39.9564384556322, -75.18660583177019 39.9564386147893, -75.1866022705244 39.9564387613689, -75.1865987073804 39.9564388961929, -75.18659514361011 39.9564390165866, -75.1865915802814 39.9564391252769, -75.1865880139526 39.956439220385, -75.1865844480655 39.9564393037896, -75.1865808826538 39.9564393745907, -75.1865773165479 39.956439432762, -75.18657374981549 39.956439476503, -75.1865701834908 39.956439509441, -75.18656661533591 39.9564395288228, -75.1865630499622 39.9564395365535, -75.1865594816225 39.9564395298016, -75.18655591486031 39.9564395122728, -75.1865523474716 39.9564394803137, -75.1865487817284 39.9564394357771, -75.1865452152569 39.956439379511, -75.1865416493288 39.9564393088408, -75.1865380838083 39.9564392273675, -75.1865345175936 39.9564391332644, -75.18653095543171 39.9564390248356, -75.18652739023599 39.9564389037248, -75.1865238290253 39.9564387700888, -75.1865202671203 39.956438623823, -75.186516704487 39.9564384658277, -75.18651314473691 39.9564382934806, -75.18650958659821 39.9564381094562, -75.1865060277312 39.9564379137023, -75.18650247057759 39.9564377035705, -75.1864989150353 39.9564374817614, -75.1864953611724 39.9564372464746, -75.18649180892091 39.9564369995105, -75.1864882583487 39.9564367390688, -75.1864847094219 39.9564364660496, -75.1864811621405 39.9564361804528, -75.1864776141649 39.9564358822263, -75.18647407134409 39.9564355715008, -75.186470527829 39.9564352481455, -75.18646698719699 39.9564349104384, -75.1864634504482 39.9564345629067, -75.1864599131071 39.9564342000447, -75.186456379717 39.9564338255576, -75.18645284910809 39.9564334394195, -75.18644931897479 39.9564330406777, -75.1864457928605 39.9564326285105, -75.1864422683916 39.9564322037659, -75.18599430431721 39.9563774171009, -75.1859839236441 39.9564276866938))",587,Drexel University,3051 JOHN F KENNEDY BLVD,PARKING LOT COMMERCIAL,230622,882351000,4617003051,75102,75188.8920288086,1297.7923266102
